,datemut,valeurfonc,sbati,pp,valeur_per_met
414,2015-05-13,354000.0,47.0,2.0,7861.111111111111
415,2015-05-15,325000.0,46.0,2.0,7558.139534883721
416,2015-05-16,320000.0,34.0,1.5,9194.139194139194
417,2015-05-18,331000.0,41.0,2.0,7804.878048780488
418,2015-05-19,311000.0,43.0,2.0,7554.347826086957
419,2015-05-20,320000.0,41.0,2.0,7733.94495412844
420,2015-05-21,335220.0,45.0,2.0,8000.0
421,2015-05-22,374500.0,49.5,2.0,8312.758310871519
422,2015-05-23,247500.0,31.0,1.0,7983.870967741936
423,2015-05-25,305000.0,40.0,2.0,8421.052631578947
424,2015-05-26,317000.0,43.0,2.0,8055.555555555556
425,2015-05-27,328525.0,45.5,2.0,7722.727272727272
426,2015-05-28,305000.0,40.0,2.0,8058.823529411765
427,2015-05-29,335775.0,45.5,2.0,8056.318681318681
428,2015-05-30,504000.0,64.0,3.0,7500.0
429,2015-06-01,400000.0,47.0,2.0,8148.648648648648
430,2015-06-02,355000.0,45.0,2.0,8073.170731707317
431,2015-06-03,352500.0,44.5,2.0,7926.763650856916
432,2015-06-04,299000.0,42.0,2.0,7615.3125
433,2015-06-05,380000.0,52.0,3.0,8340.0
434,2015-06-06,150000.0,27.0,1.5,6107.954545454545
435,2015-06-08,290600.0,38.0,2.0,7853.126373626374
436,2015-06-09,320000.0,42.0,2.0,7800.0
437,2015-06-10,332525.0,45.0,2.0,7903.250773993808
438,2015-06-11,295000.0,45.0,2.0,7803.738317757009
439,2015-06-12,360000.0,48.0,2.0,7938.811188811189
440,2015-06-13,264000.0,34.5,2.0,7272.837301587302
441,2015-06-14,390000.0,45.0,2.0,8666.666666666666
442,2015-06-15,420000.0,49.0,2.0,8125.0
443,2015-06-16,299000.0,40.0,2.0,7587.209302325582
444,2015-06-17,358000.0,48.0,2.0,7631.578947368421
445,2015-06-18,330000.0,48.0,2.0,7762.71186440678
446,2015-06-19,320400.0,45.0,2.0,7607.142857142857
447,2015-06-20,542800.0,69.0,3.0,7866.666666666667
448,2015-06-21,453000.0,47.0,2.0,9638.297872340425
449,2015-06-22,335000.0,46.0,2.0,7948.717948717948
450,2015-06-23,389500.0,49.5,2.0,8490.47619047619
451,2015-06-24,344000.0,47.0,2.0,8125.0
452,2015-06-25,362300.0,48.0,2.0,7857.142857142857
453,2015-06-26,362250.0,48.0,2.0,8022.857142857143
454,2015-06-27,209000.0,29.0,2.0,7353.365384615385
455,2015-06-28,280000.0,42.0,3.0,6666.666666666667
456,2015-06-29,352000.0,45.0,2.0,8090.384615384615
457,2015-06-30,380850.0,50.0,2.0,8148.171428571428
458,2015-07-01,367250.0,48.0,2.0,8071.984265734266
459,2015-07-02,321000.0,46.5,2.0,8011.429225836006
460,2015-07-03,330000.0,46.0,2.0,8214.285714285714
461,2015-07-04,347500.0,41.0,2.0,7777.777777777777
462,2015-07-06,345500.0,47.0,2.0,7661.55758077879
463,2015-07-07,335000.0,48.0,2.0,7903.225806451613
464,2015-07-08,335000.0,45.0,2.0,7678.571428571428
465,2015-07-09,350000.0,48.0,2.0,7948.717948717948
466,2015-07-10,390000.0,49.0,2.0,8087.595907928388
467,2015-07-11,313000.0,40.0,2.5,7558.823529411765
