iter	Passed	Remaining
1027	30114	28473
1028	30140	28442
1029	30171	28414
1030	30194	28379
1031	30219	28345
1032	30247	28315
1033	30272	28281
1034	30297	28248
1035	30322	28215
1036	30346	28180
1037	30369	28146
1038	30393	28111
1039	30417	28077
1040	30442	28044
1041	30468	28012
1042	30496	27982
1043	30521	27948
1044	30547	27916
1045	30571	27882
1046	30599	27852
1047	30625	27820
1048	30653	27789
1049	30681	27759
1050	30711	27731
1051	30740	27701
1052	30765	27668
1053	30794	27639
1054	30821	27607
1055	30846	27574
1056	30871	27541
1057	30901	27513
1058	30926	27480
1059	30952	27448
1060	30977	27415
1061	31008	27387
1062	31034	27356
1063	31062	27326
1064	31089	27294
1065	31112	27260
1066	31148	27236
1067	31178	27208
1068	31204	27176
1069	31230	27144
1070	31254	27110
1071	31277	27076
1072	31303	27044
1073	31330	27012
1074	31353	26978
1075	31376	26944
1076	31404	26914
1077	31429	26881
1078	31458	26851
1079	31486	26821
1080	31511	26788
1081	31537	26757
1082	31567	26728
1083	31595	26698
1084	31620	26666
1085	31647	26635
1086	31671	26601
1087	31695	26568
1088	31723	26538
1089	31749	26506
1090	31774	26474
1091	31801	26443
1092	31827	26410
1093	31853	26379
1094	31879	26348
1095	31907	26317
1096	31930	26283
1097	31954	26250
1098	31976	26215
1099	32000	26181
1100	32029	26152
1101	32058	26124
1102	32085	26093
1103	32113	26063
1104	32139	26031
1105	32165	26000
1106	32192	25969
1107	32217	25936
1108	32245	25907
1109	32273	25877
1110	32298	25844
1111	32324	25812
1112	32353	25783
1113	32379	25752
1114	32404	25720
1115	32428	25687
1116	32452	25654
1117	32476	25620
1118	32507	25593
1119	32532	25561
1120	32556	25528
1121	32583	25497
1122	32612	25468
1123	32639	25437
1124	32667	25407
1125	32695	25378
1126	32724	25349
1127	32752	25319
1128	32779	25288
1129	32805	25257
1130	32832	25226
1131	32858	25195
1132	32885	25164
1133	32913	25135
1134	32940	25104
1135	32970	25075
1136	32997	25045
1137	33027	25017
1138	33054	24987
1139	33085	24959
1140	33108	24926
1141	33133	24893
1142	33161	24863
1143	33186	24831
1144	33211	24799
1145	33237	24768
1146	33266	24739
1147	33296	24711
1148	33321	24679
1149	33344	24645
1150	33372	24616
1151	33399	24585
1152	33423	24553
1153	33445	24519
1154	33475	24490
1155	33499	24457
1156	33526	24427
1157	33555	24398
